,AgencyCode,AgencyName,CategoryOfFundingActivity.Element:Text,Description
30157,HUD,Department of Housing and Urban Development,HO,"With this publication, HUD is making available up to $5,000,000 for Planning Grants, including Planning and Action Grants.1. Planning Grants are two-year grants that assist communities with severely distressed public or HUD-assisted housing in developing a successful neighborhood transformation plan and building the support necessary for that plan to be successfully implemented.2. Planning and Action Grants are three and a half year planning grants that pair planning with action. Experience shows that tangible actions taken early on help communities build momentum for further planning and the eventual transition from planning to implementation of that plan. These actions improve neighborhood confidence, which in turn sustains the community&#8217;s energy, attracts more engagement and resources, and helps convince skeptical stakeholders that positive change is possible. Under these grants, the planning process activities would take place during the first 24 months of the grant period. The planning process will identify Action Activities that will be carried out during the latter portion of the grant period. Action Activities must build upon the planning for the target housing and neighborhood."
30256,HUD,Department of Housing and Urban Development,HO,"This notice provides information to help applicants better understand the REGISTRATION and ELECTRONIC SUBMISSION process for HUD applications made available through Grants.gov. Through this notice HUD is encouraging applicants to complete or update their registration, in advance of HUD posting its Fiscal Year 2008 grant opportunities"
30347,HUD,Department of Housing and Urban Development,HO,"This Notice describes technical corrections to HUD&apos;s FY2008 policy requirements applicable to all of HUD&apos;s NOFAs published March 19, 2008. "
30366,CNCS,Corporation for National and Community Service,HO,"The Corporation for National and Community Service (the Corporation) provides grants to organizations to plan and carry out projects that bring Americans together to serve in their communities in observation of Martin Luther King, Jr. Day. Subject to availability of appropriations, a total of approximately $500,000 will be awarded to support 2009 King Day activities, ranging in amounts from approximately $50,000 to $300,000, to support the first year of these grants. These funds are subject to the availability of FY 2009 appropriations under the authority of section 198(s) of the National and Community Service Act of 1990 (42USC12653(9)), authorizing the Corporation to make grants to share the cost of planning and carrying out service opportunities in conjunction with the federal legal holiday honoring the birthday of Martin Luther King, Jr. Grantees will be eligible for continuation funding in the second and third years contingent upon the availability of appropriations, compliance with requirements, and satisfactory performance. The purpose of these grants is to mobilize more Americans to observe the Martin Luther King, Jr. Federal Holiday as a day of service in communities, to encourage those who serve on this holiday to make a long-term commitment to community service, and to bring people together to focus on service to others. The Corporation is interested in multi-state, national (10 or more states) or comprehensive regional initiatives (multi-state regions &#150; for example, the Corporation&#146;s clusters). Activities must include projects that improve the lives of disadvantaged youth and engage them in providing service to others. Grantees must competitively subgrant a portion of the federal funds to eligible local organizations, and may also directly support local projects, to plan and carry out direct service activities on the 2009, 2010, and 2011 Martin Luther King, Jr. holiday weekends. "
30456,HUD,Department of Housing and Urban Development,HO,Improve the living environment for public housing residents of severely distressed public housing projects through demolition and rehabilitation. SEE PROGRAM NOFA FOR FULL DESCRIPTION.
30529,HUD,Department of Housing and Urban Development,HO,No funds are available through unsolicited applications under this announcement. If you have not received a letter from HUD advising you to download this application package you are not eligible to receive funds under this announcement.
30657,HUD,Department of Housing and Urban Development,HO,This funding opportunity is available for a demonstration program to provide assistance for intergenerational dwelling units for intergenerational families in connection with the supportive housing program under Section 202 of the Housing Act of 1959 (12 U.S.C. 1701q). The purpose of the program is to expand the supply of intergenerational dwelling units for very low-income grandparent(s) or relative(s) heads of household 62 years of age or older raising a child.
30665,HUD,Department of Housing and Urban Development,HO,The purpose of the RHED program is to provide support for innovative housing and economic development activities in rural areas. The funds made available under this program will be awarded competitively through a selection process conducted by HUD in accordance with the HUD Reform Act. Individuals are NOT eligible to apply for this funding opportunity.
30699,HUD,Department of Housing and Urban Development,HO,This Notice provides detail instructions on completing the Continuum of Care (CoC) registration process for e-snaps.
30732,HUD,Department of Housing and Urban Development,HO,". Assisted living facilities (ALFs) are designed to accommodate frail elderly persons and people with disabilities who need certain support services (e.g., assistance with eating, bathing, grooming, dressing, and home management activities). ALFs must provide support services such as personal care, transportation, meals, housekeeping, and laundry. Frail elderly person means an individual 62 years of age or older who is unable to perform at least three activities of daily living (ADLs) as defined by the regulations for HUD&apos;s Section 202 Program (Supportive Housing for the Elderly) at 24 CFR 891.205. Assisted living is defined in section 232(b)(6) of the National Housing Act (12 U.S.C. 1715w). The ALCP provides funding for the physical costs of converting some or all of the units of an eligible multifamily development into an ALF, including unit configuration and related common and services space and any necessary remodeling, consistent with HUD or the state&apos;s statute/regulations (whichever is more stringent). Typical funding will cover basic physical conversion of existing project units, as well as related common and services space. There must be sufficient community space to accommodate a central kitchen or dining facility, lounges, recreation, and other multiple-areas available to all residents of the project, and/or office/staff spaces in the ALF. When food is prepared at an off-site location, the preparation area of the facility must be of sufficient size to allow for the installation of a full kitchen, if necessary. You must provide supportive services for the residents either directly or through a third party. Your application must include a firm commitment for the supportive services to be offered within the ALF. You may charge assisted living residents for meals and/or service fees. Residents may contract with third party agencies directly for nursing, therapy, or other services not offered by the ALF. "
30734,HUD,Department of Housing and Urban Development,HO,"HUD provides capital advances and contracts for project rental assistance in accordance with 24 CFR part 891. Capital advances may be used for the construction or rehabilitation of a structure, or acquisition of a structure with or without rehabilitation. Capital advance funds bear no interest and are based on development cost limits in Section IV.E.3. Repayment of the capital advance is not required as long as the housing remains available for occupancy by very low-income elderly persons for at least 40 years. PRAC funds are used to cover the difference between the tenants&apos; contributions toward rent (30 percent of adjusted income) and the HUD-approved cost to operate the project. PRAC funds may also be used to provide supportive services and to hire a service coordinator in those projects serving frail elderly residents. The supportive services must be appropriate to the category or categories of frail elderly residents to be served. "
30740,HUD,Department of Housing and Urban Development,HO,"HUD provides capital advances and contracts for project rental assistance in accordance with 24 CFR part 891. Capital advances may be used for the construction or rehabilitation of a structure or acquisition of a structure with or without rehabilitation, to be developed into a variety of housing options described in Section III.C. Capital advance funds bear no interest and are based on development cost limits in Section IV.E.3. Repayment of the capital advance is not required as long as the housing remains available for occupancy by very low-income persons with disabilities for at least 40 years. PRAC funds are used to cover the difference between the tenants&apos; contributions toward rent (30 percent of adjusted income) and the HUD-approved cost to operate the project. B. Authority. 42 U.S.C. 8013 (Section 811 of the Cranston-Gonzalez National Affordable Housing Act (Pub.L. 101-625, approved November 28, 1990)(NAHA), as amended by the Housing and Community Development Act of 1992) (Pub.L. 102-550, approved October 28, 1992)(HCD Act of 1992); the Rescissions Act (Pub.L. 104-19, approved July 27, 1995); the American Homeownership and Economic Opportunity Act of 2000 (Pub. L. 106-569, approved December 27, 2000) and authorized a new supportive housing program for persons with disabilities, and replaced assistance for persons with disabilities previously covered by section 202 of the Housing Act of 1959 (section 202 continues, as amended by section 801 of the NAHA, and the HCD Act of 1992, to authorize supportive housing for the elderly). "
30747,HUD,Department of Housing and Urban Development,HO,"SHOP funds are to be used to facilitate and encourage innovative homeownership opportunities on a national geographically diverse basis through self-help housing programs that require significant sweat-equity by the homebuyer toward the construction or rehabilitation of the dwelling. SHOP programs are administered by national and regional nonprofit organizations and consortia. Units developed with SHOP funds must be decent, safe, and sanitary non-luxury dwellings and must be made available to eligible homebuyers at prices below the prevailing market prices. Eligible homebuyers are low-income individuals and families (i.e., those whose annual incomes do not exceed 80 percent of the median income for the area, as established by HUD) who would otherwise be unable to purchase a dwelling but for the provision of sweat equity. Housing assisted under this Notice of Funding Availability (NOFA) must involve labor contributed by homebuyers and volunteers in the construction of dwellings and other activities that involve the community in the project."
30748,HUD,Department of Housing and Urban Development,HO,"The Consolidated Appropriations Act, 2008 (Pub. L. 110-161, approved December 26, 2007) allows funding for program coordinators under the HCV FSS program under section 23 of the United States Housing Act of 1937. Through annual NOFAs, HUD has provided funding to public housing agencies (PHAs) that are operating HCV FSS programs to enable those PHAs to employ program coordinators to support their HCV FSS programs. In the Fiscal Year (FY) 2008 HCV FSS Program Coordinator NOFA, HUD is again making funding available to PHAs to employ HCV FSS program coordinators and HCV FSS homeownership program coordinators for one year. Funding priority under this NOFA will be provided to applicants with Public Housing Information Center (PIC) data confirming that their FSS families have purchased homes and to applicants whose PIC data demonstrate program accomplishments, such as increased HCV FSS program size, increased earned income of program participants, and families successfully completing their FSS contracts. HUD will accept applications from both new and renewal PHAs that have HUD approval to administer an HCV FSS program. PHAs funded under the HCV FSS NOFA in FY 2005, FY 2006, or FY 2007 are considered &#147;renewal&#148; PHAs in this NOFA. These renewal PHAs are invited to apply for funds to continue previously funded HCV FSS program coordinator and HCV FSS homeownership coordinator positions that they have filled."
30749,HUD,Department of Housing and Urban Development,HO,"Purpose of Program. The purpose of the Public Housing FSS (PH FSS) program is to promote the development of local strategies to coordinate the use of assistance under the Public Housing program with public and private resources, enable participating families to increase earned income, reduce or eliminate the need for welfare assistance, and make progress toward achieving economic independence and housing self-sufficiency. The FSS program and this FSS NOFA support the Department&#146;s strategic goals of helping HUD-assisted renters make progress toward housing self-sufficiency. The FSS program provides critical tools that can be used by communities to support welfare reform and help families develop new skills that will lead to economic self-sufficiency. As a result of their participation in the FSS program, many families have achieved stable, well-paid employment, which has made it possible for them to become homeowners or move to other non-assisted housing. An FSS program coordinator assures that program participants are linked to the supportive services they need to achieve self-sufficiency.2. Funding Available. HUD expects to award a total of approximately $12 million in FY 2008. "
30751,HUD,Department of Housing and Urban Development,HO,"The purpose of the Public and Indian Housing Resident Opportunity and Self Sufficiency (ROSS) program is to provide grants to public housing agencies (PHAs), tribes/tribally designated housing entities (TDHEs), Resident Associations (RAs), and nonprofit organizations (including grassroots, faith-based and other community-based organizations) for the provision of a Service Coordinator to coordinate supportive services and other activities designed to help Public and Indian housing residents attain economic and housing self-sufficiency. This program works to promote the development of local strategies to coordinate the use of assistance under the Public Housing program with public and private resources, for supportive services and resident empowerment activities. These services should enable participating families to increase earned income, reduce or eliminate the need for welfare assistance, make progress toward achieving economic independence and housing self-sufficiency, or, in the case of elderly or disabled residents, help improve living conditions and enable residents to age-in-place. A Service Coordinator ensures that program participants are linked to the supportive services they need to achieve self-sufficiency or remain independent. Funds in this program will no longer be allowed to be used for the direct provision of these services. This program is similar to the Public Housing FSS program (PH FSS), however, the PH FSS program is open only to PHAs and Tribes/TDHEs, has a requirement of an escrow account for its participants and is one-year funding. The ROSS SC program is open to non-profit and Resident Association applicants, is three-year funding, includes admin expenses and training as eligible uses of the funds and requires a 25% match by statute. A PHA or Tribe may receive grants in both programs. "
30754,HUD,Department of Housing and Urban Development,HO,"Program Description. The purpose of the ICDBG program is the development of viable Indian and Alaska Native communities, including the creation of decent housing, suitable living environments, and economic opportunities primarily for persons with low- and moderate- incomes as defined in 24 CFR 1003.4. The ONAP in HUD&#146;s Office of Public and Indian Housing administers the program. 1. Single Purpose Grants. Projects funded by the ICDBG program must meet the primary objective, defined at 24 CFR 1003.2, to principally benefit low- and moderate-income persons. Consistent with this objective, not less than 70 percent of the expenditures of each single-purpose grant shall be for activities that meet the regulatory criteria at 24 CFR 1003.208 for:a. Area Benefit Activitiesb. Limited Clientele Activitiesc. Housing Activitiesd. Job Creation or Retention Activities ICDBG funds may be used to improve housing stock, provide community facilities, improve infrastructure, and expand job opportunities by supporting the economic development of the communities, especially by nonprofit tribal organizations or local development corporations. ICDBG single-purpose grants are distributed as annual competitive grants, in response to this NOFA. "
30756,HUD,Department of Housing and Urban Development,HO,"Authority. Section 561 of the Housing and Community Development Act of 1987, as amended, (42 U.S.C. 3616) established FHIP. The implementing regulations are found at 24 CFR Part 125. If you are interested in applying for funding under the FHIP, please review carefully the General Section of the SuperNOFA (hereafter, the General Section), the FHIP Authorizing Statute (Sec. 561 of the Housing and Community Development Act of 1987, as amended), and the FHIP Regulations (24 CFR 125.103-501)."
30757,HUD,Department of Housing and Urban Development,HO,"Authority. Section 561 of the Housing and Community Development Act of 1987, as amended, (42 U.S.C. 3616) established FHIP. The implementing regulations are found at 24 CFR Part 125. If you are interested in applying for funding under the FHIP, please review carefully the General Section of the SuperNOFA (hereafter, the General Section), the FHIP Authorizing Statute (Sec. 561 of the Housing and Community Development Act of 1987, as amended), and the FHIP Regulations (24 CFR 125.103-501). "
30758,HUD,Department of Housing and Urban Development,HO,"Authority. Section 561 of the Housing and Community Development Act of 1987, as amended, (42 U.S.C. 3616) established FHIP. The implementing regulations are found at 24 CFR Part 125. If you are interested in applying for funding under the FHIP, please review carefully the General Section of the SuperNOFA (hereafter, the General Section), the FHIP Authorizing Statute (Sec. 561 of the Housing and Community Development Act of 1987, as amended), and the FHIP Regulations (24 CFR 125.103-501)."
30759,HUD,Department of Housing and Urban Development,HO,"This program supports the delivery of a wide variety of housing counseling services to homebuyers, homeowners, low- to moderate-income renters, and the homeless. The primary objectives of the program are to expand homeownership opportunities, improve access to affordable housing and preserve homeownership. Counselors provide guidance and advice to help families and individuals improve their housing conditions and meet the responsibilities of tenancy and homeownership. Counselors also help borrowers avoid inflated appraisals, unreasonably high interest rates, unaffordable repayment terms, and other conditions that can result in a loss of equity, increased debt, default, and eventually foreclosure. "
30760,HUD,Department of Housing and Urban Development,HO,"This program supports the delivery of a wide variety of housing counseling services to homebuyers, homeowners, low- to moderate-income renters, and the homeless. The primary objectives of the program are to expand homeownership opportunities, improve access to affordable housing and preserve homeownership. Counselors provide guidance and advice to help families and individuals improve their housing conditions and meet the responsibilities of tenancy and homeownership. Counselors also help borrowers avoid inflated appraisals, unreasonably high interest rates, unaffordable repayment terms, and other conditions that can result in a loss of equity, increased debt, default, and eventually foreclosure. "
30761,HUD,Department of Housing and Urban Development,HO,"This program supports the delivery of a wide variety of housing counseling services to homebuyers, homeowners, low- to moderate-income renters, and the homeless. The primary objectives of the program are to expand homeownership opportunities, improve access to affordable housing and preserve homeownership. Counselors provide guidance and advice to help families and individuals improve their housing conditions and meet the responsibilities of tenancy and homeownership. Counselors also help borrowers avoid inflated appraisals, unreasonably high interest rates, unaffordable repayment terms, and other conditions that can result in a loss of equity, increased debt, default, and eventually foreclosure. "
30762,HUD,Department of Housing and Urban Development,HO,"This program supports the delivery of a wide variety of housing counseling services to homebuyers, homeowners, low- to moderate-income renters, and the homeless. The primary objectives of the program are to expand homeownership opportunities, improve access to affordable housing and preserve homeownership. Counselors provide guidance and advice to help families and individuals improve their housing conditions and meet the responsibilities of tenancy and homeownership. Counselors also help borrowers avoid inflated appraisals, unreasonably high interest rates, unaffordable repayment terms, and other conditions that can result in a loss of equity, increased debt, default, and eventually foreclosure. "
30763,HUD,Department of Housing and Urban Development,HO,"Program Purpose. Funds are available to provide, under cooperative agreements with HUD, training activities designed to improve and standardize the quality of counseling provided by housing counselors employed by &#147;participating agencies.&#148; Participating agencies are all housing counseling and intermediary organizations participating in HUD&#146;s Housing Counseling Program, including HUD-approved agencies, and affiliates and branches of HUD-approved intermediaries, HUD-approved Multi-state organizations, and state housing finance agencies. "
30784,HUD,Department of Housing and Urban Development,HO,"Purpose of the Program: To assist Tribal Colleges and Universities (TCU) to build, expand, renovate, and equip their own facilities, and to expand the role of the TCUs into the community through the provision of needed services such as health programs, job training, and economic development activities."
30789,HUD,Department of Housing and Urban Development,HO,"The purpose of the Healthy Homes Demonstration Program is to develop, demonstrate, and promote cost-effective, preventive measures to correct multiple residential safety and health hazards that produce serious diseases and injuries in children and other sensitive subgroups such as the elderly, with a particular focus on low income households. The Healthy Homes Demonstration Program is committed to supporting the Departmental Strategic Goal of strengthening communities by addressing housing conditions that threaten health. "
30790,HUD,Department of Housing and Urban Development,HO,"Techncial Correction published in the Federal Register today and posted in the INSTRUCTIONS DOWNLOAD. The purpose of this Lead Outreach Grant Program is to promote efficient and effective outreach, education, and training for the public concerning the hazards and sources of lead-based paint poisoning, particularly for low-income children, and to reduce or eliminate such hazards."
30791,HUD,Department of Housing and Urban Development,HO,"Purpose of the Program.a. The purpose of the Lead-Based Paint Hazard Control Grant Program is to assist states, Native American Tribes, cities, counties/parishes, or other units of local government in undertaking comprehensive programs to identify and control lead-based paint hazards in eligible privately owned rental or owner-occupied housing.b. The purpose of the Lead Hazard Reduction Demonstration Grant Program is the same as the Lead-Based Paint Hazard Control, but with the exception that the Lead Hazard Reduction Demonstration Grant Program is targeted for urban jurisdictions with the greatest lead-based paint hazard control needs.c. The purpose of the Operation Lead Elimination Action Program (LEAP) is to leverage private sector resources to eliminate lead poisoning as a major public health threat to children under age six living in eligible privately owned housing units.Available Funds. Approximately $132 million (Lead-Based Paint Hazard Control Grant Program, Lead Hazard Reduction Demonstration Grant Program and Operation Lead Elimination Action Program) is available from current and previous years&#146; funding.3. Match. Matching funds are required for the Lead-Based Paint Hazard Control Grant Program and Lead Hazard Reduction Demonstration Grant Program. For the Lead Hazard Reduction Demonstration Grant Program, HUD may grant a waiver of the 25 percent match requirement, if the applicant submits a request that meets HUD&#146;s criteria. "
30808,HUD,Department of Housing and Urban Development,HO,Mainstream vouchers are a subset of the Housing Choice Voucher program that are awarded competitively to serve persons with disabilities. 
30930,HUD,Department of Housing and Urban Development,HO,"A number of America&#8217;s veterans with disabilities and who are low-income are in need of adaptive housing to help them regain or maintain their independence. In partnership with the U.S. Department of Veterans Affairs, the U.S. Department of Housing and Urban Development intends to address these challenges in accordance with the Carl Levin and Howard P. &#8220;Buck&#8221; McKeon National Defense Authorization Act for Fiscal Year 2015 (Pub. L. 113-291, enacted December 19, 2014) by awarding competitive grants to nonprofit organizations that provide nationwide or statewide programs that primarily serve veterans and/or low-income individuals. The grants may be used to modify or rehabilitate eligible veterans&#8217; primary residences. "
31314,HUD,Department of Housing and Urban Development,HO,"FUP is a program under which HCVs are provided to two groups: 1. Families for whom the lack of adequate housing is a primary factor in the imminent placement of the family&apos;s child, or children, in out-of-home care; or the delay in the discharge of the child, or children, to the family from out-of-home care; and 2. Youths at least 18 years and not more than 24 years of age (have not reached their 25th birthday) who left foster care at age 16, or will leave foster care within 90 days, in accordance with a transition plan described in section 475(5)(H) of the Social Security Act, and is homeless or is at risk of becoming homeless at age 16 or older. As required by statute, a FUP voucher issued to such a youth may only be used to provide housing assistance for the youth for a maximum of 36 months."
31317,HUD,Department of Housing and Urban Development,HO,The purpose of the HOPE VI Main Street program is to provide grants to small communities to assist in the rejuvenation of an historic or traditional central business or district or &quot;Main Street&quot; area by replacing unused commercial space in buildings with afforadble housing units.
31934,HUD,Department of Housing and Urban Development,HO,The purpose of the CoC Homeless Assistance Program is to reduce the incidence of homelessness in CoC communities by assisting homeless individuals and families to move to self sufficiency and permanent housing.CoCs that sustain current successfulinterventions and advance the goal of ending chronic homelessness will receive higher scores.
32005,HUD,Department of Housing and Urban Development,HO,"Since 2005, HUD has required that applicants for HUD&#146;s discretionary funding submit their applications electronically through Grants.gov, unless the applicant previously received a waiver of this requirement. Since July 2, 2008, however, applicants for HUD assistance have indicated that they have encountered technical difficulties in their electronic application submissions. Today&#146;s notice announces that HUD is taking action to respond to these concerns and is conducting a Quality Assurance Review (QAR) to identify applicants that correctly followed all electronic application submission instructions, including registration for electronic submission, but were unable to submit an application because of technical problems related to the use of the Adobe Acrobat forms and Grants.gov error messages. "
32314,HUD,Department of Housing and Urban Development,HO,To fund technical studies to improve existing methods for detecting and controlling key housing-related health and safety hazards; to develop new methods to detect and control these hazards; and to improve our knowledge of these key housing-related health and safety hazards.
32366,CNCS,Corporation for National and Community Service,HO,"What are AmeriCorps State and National grants? Subject to the availability of appropriations for fiscal year 2008, the Corporation for National and Community Service (the Corporation) announces the anticipated availability of approximately $21,288,000 to award new and re-competing AmeriCorps State and National grants. The grants in AmeriCorps State are: State Competitive, Territories Competitive, States without Commissions, and State Education Award Program (EAP). The grants in AmeriCorps National are: National EAP, National Direct, National Professional Corps, National Planning, and Indian Tribes. Is my organization eligible and to whom do we apply? If your organization works in just one state, please contact your state commission, which can be found here: http://www.nationalservice.org/about/contact/statecommission.asp. You will apply to them. If your organization works in more than one state, you are eligible to apply for a national grant. You will apply directly to the Corporation. If your organization is an Indian Tribe you may apply through your state commission, or directly to the Corporation. See the 2009 Notice of Federal Funding Opportunity for more information, found here: http://www.americorps.gov/pdf/08_0531_nofa_ac.pdf. If you are submitting a request for continuation in 2009, please see the Application Instructions, which include information for continuation applications, found here: http://www.americorps.gov/for_organizations/funding/nofa.asp. Notice of Intent to Apply: In order to help us gauge the number of applications we are likely to receive, please send an e-mail 60 days prior to the deadline to americorpsnational@cns.gov, for National applicants, or americorpsapplications@ cns.gov for state commissions. National applicants should state the competition for which you will be applying. State commissions are encouraged to include an estimate of the number of programs you will be submitting to the state competitive competition. Although submission of the notice of intent to apply is not mandatory, your e-mail will help the Corporation to plan more efficiently for review. More Information on AmeriCorps State and National For more than a decade, the Corporation for National and Community Service&#151;through its Senior Corps, AmeriCorps, and Learn and Serve programs&#151;has mobilized a new generation of engaged citizens. This year, more than 1.8 million individuals of all ages and backgrounds will serve through these programs. They will help thousands of national and community nonprofit organizations, faith-based groups, schools, and local agencies meet local needs in education, the environment, public safety, homeland security, and other critical areas. Roughly three quarters of all AmeriCorps grant funding goes to Governor-appointed state service commissions, which award subgrants to nonprofit organizations in their states. These organizations recruit AmeriCorps members to respond to local needs. The Corporation distributes most of the remainder of the grant funding directly to organizations operating in more than one state. The Corporation&#146;s mission is to improve lives, strengthen communities, and foster civic engagement through service and volunteering. In the FY 2009 competition, the Corporation will give special consideration to projects that address one or a combination of five strategic initiatives, listed below, that meet critical needs of our nation, achieve national service goals, and address community problems. 1. Mobilizing more volunteers. 2. Ensuring a brighter future for all of America&#146;s youth. 3. Engaging students in communities. 4. Harnessing Baby Boomers&#146; experience. 5. Helping communities recover from and prepare for disasters. In 2009, the Corporation will also give special consideration to programs designed to engage veterans as service recipients or providers. The Corporation reserves the right to re-focus program dollars in the event of disaster or other compelling need. Additional programs and program models that may receive special consideration in the selection process are described in the AmeriCorps regulations Section 2522.450. You can find the regulations here: http://www.americorps.gov/for_organizations/manage/index.asp. You are encouraged to integrate the priorities and initiatives into your program design, where they logically align with your organizational mission and objectives. For more information contact your state commission, which you can find here http://www.nationalservice.org/about/contact/statecommission.asp if you are interested in the State grant program. Contact (202) 606-7508 if you are interested in the National grant program. "
32393,VA-HPGPDP,Homeless Providers Grant and Per Diem Program,HO,"Department of Veterans Affairs (VA), Veterans Health Administration (VHA), VA Homeless Providers Grant and Per Diem Program is announcing the availability of 1-year renewal funding for the 12 currently operational fiscal year (FY) 2018 VA Homeless Providers Grant and Per Diem (GPD) Program Special Need Grant recipients and their collaborative VA Special Need partners (as applicable) to submit renewal applications for assistance under the Special Need Grant component of VA&apos;s Homeless Providers GPD Program. The focus of this Notice of Funding Availability (NOFA) is to encourage applicants to continue to deliver services to the homeless Special Need Veteran population. The NOFA published in the Federal Register contains information concerning the program, application process, and amount of funding available: https://www.gpo.gov/fdsys/pkg/FR-2018-05-15/pdf/2018-10311.pdf. An original completed signed and dated renewal application for assistance under VA&apos;s GPD Program and associated documents, must be received by the GPD Program Office by 4:00 p.m. Eastern Time on Friday, June 22, 2018. (see application requirements in the NOFA). Applications may not be sent by facsimile. In the interest of fairness to all competing applicants, this deadline is firm as to date and time, and VA will treat any application that is received after the deadline as ineligible for consideration. Applicants should make early submission of their materials to avoid any risk of loss of eligibility because of unanticipated delays or other delivery-related problems."
32507,HUD,Department of Housing and Urban Development,HO,"The purpose of this Demonstration Pre-Development Grant program is to assist Sponsors of projects that recieve Fund Reservation Awards pursuant to the FY 2008 SuperNOFA for the Section 202 Supportive Housing for the Elderly program by providing pre-development grant funding for architectural and engineering work, site control, and other planning related expenses that are eligible for funding under the Section 202 Supportive Housing for the Elderly program."
32627,HUD,Department of Housing and Urban Development,HO,"Choice Neighborhoods Implementation Grants support the implementation of comprehensive neighborhood revitalization plans that are expected to achieve the following three core goals: 1. Housing: Replace distressed public and assisted housing with high-quality mixed-income housing that is well-managed and responsive to the needs of the surrounding neighborhood; 2. People: Improve outcomes of households living in the target housing related to employment and income, health, and children&#8217;s education; and 3. Neighborhood: Create the conditions necessary for public and private reinvestment in distressed neighborhoods to offer the kinds of amenities and assets, including safety, good schools, and commercial activity, that are important to families&#8217; choices about their community."
32654,CNCS,Corporation for National and Community Service,HO,"What are AmeriCorps State and National grants? Subject to the availability of appropriations for fiscal year 2009, the Corporation for National and Community Service (the Corporation) announces the anticipated availability of approximately $21,288,000 to award new and re-competing AmeriCorps State and National grants. The grants in AmeriCorps State are: State Competitive, Territories Competitive, States without Commissions, and State Education Award Program (EAP). The grants in AmeriCorps National are: National EAP, National Direct, National Professional Corps, National Planning, and Indian Tribes. Is my organization eligible and to whom do we apply? If your organization works in just one state, please contact your state commission, which can be found here: http://www.nationalservice.org/about/contact/statecommission.asp. You will apply to them. If your organization works in more than one state, you are eligible to apply for a national grant. You will apply directly to the Corporation. If your organization is an Indian Tribe you may apply through your state commission, or directly to the Corporation. See the 2009 Notice of Federal Funding Opportunity for more information, found here: http://www.nationalservice.gov/for_organizations/funding/nofa_detail.asp?tbl_nofa_id=66 If you are submitting a request for continuation in 2009, please see the Application Instructions, which include information for continuation applications, found here: http://www.americorps.gov/for_organizations/funding/nofa.asp. Notice of Intent to Apply: In order to help us gauge the number of applications we are likely to receive, please send an e-mail prior to the deadline to americorpsnational@cns.gov, for National applicants. National applicants should state the competition for which you will be applying. Although submission of the notice of intent to apply is not mandatory, your e-mail will help the Corporation to plan more efficiently for review. More Information on AmeriCorps State and National For more than a decade, the Corporation for National and Community Service&#151;through its Senior Corps, AmeriCorps, and Learn and Serve programs&#151;has mobilized a new generation of engaged citizens. This year, more than 1.8 million individuals of all ages and backgrounds will serve through these programs. They will help thousands of national and community nonprofit organizations, faith-based groups, schools, and local agencies meet local needs in education, the environment, public safety, homeland security, and other critical areas. Roughly three quarters of all AmeriCorps grant funding goes to Governor-appointed state service commissions, which award subgrants to nonprofit organizations in their states. These organizations recruit AmeriCorps members to respond to local needs. The Corporation distributes most of the remainder of the grant funding directly to organizations operating in more than one state. The Corporation&#146;s mission is to improve lives, strengthen communities, and foster civic engagement through service and volunteering. In the FY 2009 competition, the Corporation will give special consideration to projects that address one or a combination of five strategic initiatives, listed below, that meet critical needs of our nation, achieve national service goals, and address community problems. 1. Mobilizing more volunteers. 2. Ensuring a brighter future for all of America&#146;s youth. 3. Engaging students in communities. 4. Harnessing Baby Boomers&#146; experience. 5. Helping communities recover from and prepare for disasters. In 2009, the Corporation will also give special consideration to programs designed to engage veterans as service recipients or providers. The Corporation reserves the right to re-focus program dollars in the event of disaster or other compelling need. Additional programs and program models that may receive special consideration in the selection process are described in the AmeriCorps regulations Section 2522.450. You can find the regulations here: http://www.americorps.gov/for_organizations/manage/index.asp. You are encouraged to integrate the priorities and initiatives into your program design, where they logically align with your organizational mission and objectives. For more information contact your state commission, which you can find here http://www.nationalservice.org/about/contact/statecommission.asp if you are interested in the State grant program. Contact (202) 606-7508 if you are interested in the National grant program. "
33015,HUD,Department of Housing and Urban Development,HO,"HUD provides grants funds to make emergency capital repairs to eligible multifamily projects owned by private nonprofit entities that are designated for occupancy by elderly tenants. The capital repair needs must relate to items that present an immediate threat to the health, safety, and quality of life of the tenants."
33021,HUD,Department of Housing and Urban Development,HO,"FUP is a program under which vouchers are provided to families for whom the lack of adequate hosuing is a primary factor in the imminent placement of the family&apos;s child, or children, in out-of-home care; or the delay in the discharge of the child, or children to the family from out-of-home care."
33397,HUD,Department of Housing and Urban Development,HO,Purpose of this program. Vouchers under this NOFA will assist non-elderly disabled families that would have been housed by a PHA if occupancy in the designated housing project/building (or portion thereof) were not restricted to elderly households. 
